"","RANK","Conference","School","Arena.Name","Arena","Capacity","address","lat","long"
"179",178,"Ohio Valley","Morehead St.","Johnson Arena ","Johnson Arena ",6500,"Johnson Arena ",41.62229295,-91.5474593757027
"180",178,"Summit","South Dakota St.","Frost Arena ","Frost Arena ",6500,"Frost Arena ",44.318012,-96.7792611532732
"181",178,"Big East","Villanova","800 E Lancaster Ave, Villanova, PA 19085","Finneran Pavilion ",6500,"800 E Lancaster Ave, Villanova, PA 19085",40.0359804,-75.3433070018965
"182",183,"MAC","Miami OH","Millett Hall ","Millett Hall ",6400,"Millett Hall ",39.78367745,-84.0626464944208
"183",183,"Horizon","Youngstown St.","Beeghly Center ","Beeghly Center ",6400,"Beeghly Center ",41.1082465,-80.6490136065898
"184",185,"MAC","Kent St.","Memorial Athletic & Convocation Center ","Memorial Athletic & Convocation Center ",6327,"Memorial Athletic & Convocation Center ",41.1481862,-81.3440024878124
"185",186,"Mid-Eastern Athletic","Norfolk St.","Echols Hall ","Echols Hall ",6191,"Echols Hall ",36.84798105,-76.2581610712755
"186",187,"West Coast","Pacific","Spanos Center ","Spanos Center ",6150,"Spanos Center ",37.9766716,-121.315117010087
"187",188,"CUSA","Sam Houston St.","Johnson Coliseum ","Johnson Coliseum ",6110,"Johnson Coliseum ",30.71290525,-95.5462087030306
"188",189,"MAC","Buffalo","Alumni Arena ","Alumni Arena ",6100,"Alumni Arena ",43.00012485,-78.7812162798177
"189",189,"Colonial","UNC Wilmington","Trask Coliseum ","Trask Coliseum ",6100,"Trask Coliseum ",34.22495055,-77.8783465923032
"190",189,"Big South","Winthrop","Winthrop Coliseum ","Winthrop Coliseum ",6100,"Winthrop Coliseum ",34.9481423,-81.0149230965024
"191",192,"SWAC","Alabama A&M","4200 Memorial Parkway Huntsville, AL","Alabama A&M Events Center ",6000,"4200 Memorial Parkway Huntsville, AL",31.311319,-85.712418
"192",192,"West Coast","Gonzaga","McCarthey Athletic Center ","McCarthey Athletic Center ",6000,"McCarthey Athletic Center ",47.6653904,-117.3991159
"193",192,"Summit","South Dakota","Sanford Coyote Sports Center ","Sanford Coyote Sports Center ",6000,"Sanford Coyote Sports Center ",42.7900965,-96.9278775359555
"194",192,"SoCon","The Citadel","McAlister Field House ","McAlister Field House ",6000,"McAlister Field House ",32.7985622,-79.9625348438532
"195",192,"Big West","UC Santa Barbara","Thunderdome ","Thunderdome ",6000,"Thunderdome ",34.413885,-119.845562
"196",197,"Mountain West","Air Force","Clune Arena ","Clune Arena ",5843,"Clune Arena ",39.01407375,-104.883612569002
"197",198,"Atlantic Sun","North Florida","UNF Arena ","UNF Arena ",5800,"UNF Arena ",30.27214975,-81.5080994977793
"198",199,"Patriot","Navy","Alumni Hall ","Alumni Hall ",5710,"Alumni Hall ",38.98442995,-76.4878045091009
"199",200,"Summit","North Dakota St.","Scheels Center ","Scheels Center ",5644,"Scheels Center ",41.5709384,-93.8034437727939
"200",201,"Patriot","Lehigh","Stabler Arena ","Stabler Arena ",5600,"Stabler Arena ",40.5852911,-75.3573984206938
"201",201,"Ohio Valley","Little Rock","Stephens Center ","Stephens Center ",5600,"Stephens Center ",34.724273,-81.341018
"202",203,"MAC","Akron","Rhodes Arena ","Rhodes Arena ",5500,"Rhodes Arena ",41.0758937,-81.5086450368824
"203",203,"Atlantic Sun","Austin Peay","F&M Bank Arena ","F&M Bank Arena ",5500,"F&M Bank Arena ",36.534643,-87.354921
"204",203,"Atlantic Sun","Central Arkansas","Farris Center ","Farris Center ",5500,"Farris Center ",35.0818116,-92.4595668133309
"205",203,"Mid-Eastern Athletic","Maryland Eastern Shore","University System of Maryland, 300 Metzerott Rd, Adelphi, MD 20783","Hytche Athletic Center ",5500,"University System of Maryland, 300 Metzerott Rd, Adelphi, MD 20783",39.13771,-76.5432
"206",203,"Sun Belt","Troy","Trojan Arena ","Trojan Arena ",5500,"Trojan Arena ",31.802287,-85.952433580008
"207",208,"Atlantic 10","St. Bonaventure","Reilly Center ","Reilly Center ",5480,"Reilly Center ",42.079501,-78.484879
"208",209,"Sun Belt","Marshall","Henderson Center ","Henderson Center ",5467,"Henderson Center ",40.1135241,-75.3765412349203
"209",210,"MAC","Western Michigan","University Arena ","University Arena ",5421,"University Arena ",42.2833436,-85.6085860448547
"210",211,"MAC","Central Michigan","McGuirk Arena ","McGuirk Arena ",5300,"McGuirk Arena ",43.5815664,-84.774189
"211",211,"Ohio Valley","Eastern Illinois","2150 4th St #2046, Charleston, IL 61920","Lantz Arena ",5300,"2150 4th St #2046, Charleston, IL 61920",40.11602,-88.194771
"212",211,"Western Athletic","Southern Utah","America First Event Center ","America First Event Center ",5300,"America First Event Center ",37.675507,-113.072893
"213",214,"Atlantic 10","Davidson","Belk Arena ","Belk Arena ",5223,"Belk Arena ",35.4992414,-80.840296
"214",215,"American","Rice","Tudor Fieldhouse ","Tudor Fieldhouse ",5208,"Tudor Fieldhouse ",29.71498295,-95.4039871253966
"215",216,"Colonial","Towson","SECU Arena ","SECU Arena ",5200,"SECU Arena ",39.3873809,-76.6170992728389
"216",217,"America East","Binghamton","Events Center ","Events Center ",5142,"Events Center ",42.0992,-75.9115
"217",218,"Ohio Valley","Western Illinois","Western Hall ","Western Hall ",5139,"Western Hall ",40.4717635,-90.6851161
"218",219,"Colonial","Charleston","TD Arena ","TD Arena ",5100,"TD Arena ",32.7834,-79.937
"219",219,"Colonial","Elon","Schar Center ","Schar Center ",5100,"Schar Center ",36.1080901,-79.5106843977845
"220",219,"West Coast","San Diego","Jenny Craig Pavilion ","Jenny Craig Pavilion ",5100,"Jenny Craig Pavilion ",32.77446015,-117.183716994146
"221",222,"Colonial","Northeastern","Matthews Arena ","Matthews Arena ",5065,"Matthews Arena ",42.34132975,-71.0843149755329
"222",223,"Western Athletic","Cal Baptist","8432 Magnolia Ave, Riverside, CA 92504","Fowler Events Center ",5050,"8432 Magnolia Ave, Riverside, CA 92504",33.9283239,-117.425920620585
"223",224,"Colonial","Hofstra","Mack Sports Complex ","Mack Sports Complex ",5045,"Mack Sports Complex ",40.7197699,-73.5968069474636
"224",225,"Patriot","Army","600 Thayer Rd, West Point, NY 10996l Arena ","Christl Arena ",5043,"600 Thayer Rd, West Point, NY 10996l Arena ",41.40118,-73.972321
"225",226,"SoCon","VMI","Cameron Hall ","Cameron Hall ",5029,"Cameron Hall ",37.7885154,-79.4366007254767
"226",227,"Atlantic Sun","Lipscomb","Allen Arena ","Allen Arena ",5028,"Allen Arena ",36.10376485,-86.7989115638678
"227",228,"Missouri Valley","Belmont","Curb Event Center ","Curb Event Center ",5000,"Curb Event Center ",36.1325887,-86.7944779108289
"228",228,"Independent","Chicago St.","Jones Convocation Center ","Jones Convocation Center ",5000,"Jones Convocation Center ",41.71654825,-87.6085078294937
"229",228,"Colonial","Delaware","Bob Carpenter Center ","Bob Carpenter Center ",5000,"Bob Carpenter Center ",39.66043895,-75.7487314271395
"230",228,"Big Sky","Eastern Washington","Reese Court ","Reese Court ",5000,"Reese Court ",40.1349973,-74.3817125
"231",228,"CUSA","FIU","Ocean Bank Convocation Center ","Ocean Bank Convocation Center ",5000,"Ocean Bank Convocation Center ",25.75693945,-80.3798025756902
"232",228,"SoCon","Furman","Timmons Arena ","Timmons Arena ",5000,"Timmons Arena ",34.91805805,-82.4373228507259
"233",228,"SoCon","Samford","Hanna Center ","Hanna Center ",5000,"Hanna Center ",38.3199138,-122.5063706
"234",228,"Mountain West","San Jose St.","290 S 7th St, San Jose, CA 95112","Provident Credit Union Event Center ",5000,"290 S 7th St, San Jose, CA 95112",37.3338110883243,-121.880127586878
"235",228,"Big West","UC Irvine","Bren Events Center ","Bren Events Center ",5000,"Bren Events Center ",33.6494575,-117.846905745866
"236",228,"Missouri Valley","Valparaiso","Athletics Recreation Center ","Athletics Recreation Center ",5000,"Athletics Recreation Center ",41.46424985,-87.0483403431294
"237",238,"West Coast","Portland","Chiles Center ","Chiles Center ",4854,"Chiles Center ",45.5750984,-122.728532825799
